sex,agegrp,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
male,2,010000,0.02,0.018,0.008,0.008,0.007,0.006,0.007,0.011,0.05,0.031,0.044,0.073,0.109,0.106,0.099,0.06,0.076,0.031,0.047,0.03,0.041,0.029,0.022,0.015,0.019,0.019,0.022,0.02,0.014,0.016,0.026,0.023,0.016,0.018,0.032,0.041,0.041,0.029,0.033,0.045,0.046,0.066,0.078,0.045,0.054,0.044,0.033,0.033
male,2,110000,0.004,0.004,0.004,0.004,0.008,0.004,0.007,0.002,0.006,0.007,0.025,0.024,0.043,0.06,0.06,0.058,0.069,0.049,0.071,0.051,0.034,0.036,0.073,0.101,0.215,0.14,0.093,0.074,0.048,0.032,0.03,0.037,0.034,0.049,0.093,0.103,0.168,0.163,0.139,0.123,0.07,0.05,0.029,0.031,0.02,0.01,0.007,0.004
male,2,other,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.004,0.001,0.001,0.002,0.001,0.006,0.007,0.009,0.01,0.01,0.003,0.008,0.01,0.012,0.013,0.014,0.013,0.018,0.017,0.015,0.008,0.006,0.008,0.009,0.019,0.007,0.008,0.008,0.007,0.008,0.007,0.011,0.015,0.011,0.009,0.005,0.004,0.003,0.0,0.001,0.001
male,2,180000,0.023,0.013,0.008,0.012,0.011,0.008,0.021,0.015,0.023,0.046,0.059,0.059,0.097,0.16,0.199,0.176,0.142,0.133,0.089,0.081,0.092,0.106,0.102,0.108,0.193,0.122,0.12,0.105,0.104,0.134,0.14,0.149,0.19,0.224,0.226,0.221,0.211,0.135,0.156,0.13,0.093,0.06,0.06,0.056,0.055,0.038,0.031,0.017
male,3,060000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.0,0.001,0.003,0.004,0.003,0.003,0.001,0.001,0.002,0.002,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.002,0.002,0.001,0.001,0.0,0.001
male,3,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.004,0.004,0.006,0.007,0.012,0.014,0.011,0.011,0.012,0.009,0.007,0.007,0.004,0.005,0.004,0.006,0.002,0.003,0.008,0.012,0.017,0.017,0.011,0.012,0.008,0.008,0.008,0.007,0.006,0.002,0.0,0.002
male,3,040000,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.003,0.0,0.001,0.001,0.003,0.002,0.006,0.005,0.009,0.009,0.01,0.009,0.01,0.013,0.015,0.011,0.011,0.014,0.015,0.015,0.014,0.024,0.015,0.01,0.013,0.017,0.013,0.011,0.009,0.01,0.009,0.007,0.006,0.002,0.005,0.001,0.0,0.0
male,3,020000,0.006,0.009,0.001,0.001,0.0,0.001,0.0,0.01,0.038,0.027,0.064,0.07,0.068,0.065,0.103,0.095,0.104,0.131,0.127,0.119,0.124,0.141,0.126,0.126,0.125,0.107,0.103,0.118,0.11,0.096,0.094,0.118,0.149,0.158,0.185,0.166,0.141,0.133,0.112,0.104,0.071,0.064,0.044,0.034,0.016,0.01,0.015,0.012
male,3,130000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.011,0.01,0.013,0.016,0.019,0.022,0.019,0.021,0.018,0.021,0.017,0.017,0.02,0.02,0.022,0.021,0.03,0.027,0.015,0.013,0.015,0.025,0.024,0.02,0.025,0.027,0.02,0.023,0.024,0.011,0.014,0.014,0.008,0.002,0.001,0.0,0.001
male,3,140000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.002,0.006,0.005,0.002,0.007,0.005,0.007,0.007,0.006,0.012,0.017,0.018,0.013,0.008,0.005,0.004,0.006,0.005,0.002,0.001,0.003,0.002,0.006,0.006,0.007,0.005,0.002,0.003,0.004,0.004,0.004,0.001,0.001,0.003,0.0,0.0,0.0,0.001
male,3,160000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.004,0.002,0.005,0.006,0.004,0.005,0.002,0.001,0.001,0.0,0.0,0.004,0.006,0.001,0.009,0.003,0.005,0.0,0.002,0.005,0.004,0.006,0.011,0.005,0.009,0.002,0.008,0.002,0.002,0.002,0.004,0.002
male,3,120000,0.063,0.059,0.029,0.028,0.022,0.006,0.003,0.015,0.026,0.024,0.044,0.058,0.077,0.101,0.078,0.091,0.104,0.115,0.137,0.143,0.163,0.162,0.182,0.196,0.218,0.203,0.204,0.222,0.233,0.235,0.245,0.252,0.255,0.273,0.327,0.365,0.373,0.451,0.491,0.538,0.592,0.594,0.545,0.526,0.353,0.253,0.162,0.105
male,3,080000,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.002,0.008,0.007,0.004,0.003,0.003,0.004,0.005,0.004,0.001,0.008,0.006,0.005,0.006,0.009,0.014,0.007,0.003,0.005,0.002,0.014,0.011,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003
male,3,010101,0.883,0.904,0.927,0.945,0.945,0.953,0.947,0.941,0.9,0.851,0.758,0.666,0.531,0.435,0.32,0.282,0.199,0.164,0.111,0.097,0.061,0.051,0.038,0.039,0.038,0.04,0.043,0.039,0.043,0.037,0.027,0.035,0.036,0.033,0.034,0.027,0.023,0.035,0.035,0.059,0.094,0.136,0.235,0.315,0.514,0.643,0.761,0.825
male,3,070000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.0,0.001,0.0,0.007,0.01,0.003,0.005,0.02,0.026,0.012,0.035,0.033,0.032,0.029,0.041,0.039,0.038,0.035,0.035,0.025,0.031,0.029,0.048,0.041,0.034,0.032,0.04,0.044,0.031,0.033,0.025,0.018,0.014,0.006,0.007,0.004,0.002,0.005,0.001,0.001
